sinhala_unicode,sinhala_romanized
බස් එක එන්න තවත් වෙලාවක් යනවද?,bus eka enna thawath welawak yanawada?
මම ටිකක් නිදාගන්න යන්නවා,mama tikak nidaganna yannawa
මම දන්නෙ නෑ මොකක්ද කරන්නෙ කියලා,mama danne na mokakda karanne kiyala
ඒක අපිට ලොකු පාඩමක් ඉගැන්නුවා.,eka apita loku padamak igennuwa.
මම හිතුවෙ ඔයා අද එන්නෙ නැහැ කියලා.,mama hithuwe oya ada enne naha kiyala.
ඒක එච්චර ලොකු දෙයක් නෙමෙයි.,eka echchara loku deyak nemei.
මගේ උපන්දිනය තියෙනවා ලබන සතියේ,"mage upandinaya thiyenawa labana sathiye, oyalath enna."
අරක බැලුවට මට හරියට තේරිලා නෑ,araka baluwata matta hariyata therila nah
මන් බැලුවෙ අදම මේක ඉවරයක් කරලා දාන්න,mn baluwe adama meka iwarayak karala daanna
මම එයාගේ අම්මට කතා කරනවා.,mama eyage ammata katha karanawa.
ඔයා මොනාද ඊයේ ගිහින් කරේ?,oya monada eeye gihin kare?
හෙට එයා රට යනවලු ඔයා දන්නවද?,hetta eya rata yanawalu oya dannawada?
හරියට හිතපන් බන් මොකක්ද හොද දේ කියලා,hariyata hitapan bn mokakda hoda de kiyala
මේ වැඩේ ඉවර කරන්න ඕනේ.,meh wade iwara karanna one.
දැන් ඔයා හිතන්නෙ මොකක්ද,dan oya hithanne mokakda
මෙහෙ කාලගුණය නන් ගොඩක් හොදයි.,mehe kalagunaya nan godak hondai.
වීඩියෝ එක හරිම වයිරල් වෙලා.,video eka harima viral wela.
මන් අද ලොකු වැඩක් කරා,mn ada loku wadak kara
ආයේ නැහැ බන් එතකොට,aaye naha bn ethakota
හෙට උදේ පාන්දරින්ම යන්න ඕනෙද?,heta ude pandarinma yanna oneda?
අයිස් ක්‍රීම් කන්න යන්න ආසයි.,ice cream kanna yanna asai.
මේ පොත කොහෙන්ද ගන්න පුලුවන්?,meh potha kohenda ganna puluwan?
මම හවස කඩේ ගියා.,mama hawasa kade giya.
ෆයිල් එක අප්ලෝඩ් කරලා නේද තියෙන්නේ,file eka upload karala neda thiyenne
අද නන් වහී වගේ නේද,ada nan wahi wage neda
මේ මොකක්ද මේ තියෙන්නේ,meh mokakda meh thiyenne
ඔයා කියපු දේට මට තරහා ගියා.,oya kiyapu deta matta tharaha giya.
එයා අලුත් රස්සාවකට ගියා,eya aluth rassawakata giya
ඔයාගේ දුරකථන අංකය දෙන්න පුලුවන්ද ?,oyage durakathana ankaya mata denna puluwanda?
ඔයාට තාම තේරුනේ නැද්ද කියපු එක,oyata thaama therune nadda kiyapu eka
අපේ ගෙදර එන්න.,apeh gedara enna.
මේ වීකෙන්ඩ් එකේ බීච් යමු.,meh weekend eke beach yamu.
මේ කෑම එක හරිම රසයි.,me kaama eka harima rasai.
ඒකෙ ගනන් වැඩි අනිත් ඒවාට වඩා,eke ganan wadi anith ewata wada
මට ගොඩක් බඩගිනි වෙලා ඉන්නෙ.,matta godak badagini wela inne.
මම බත් කන්න කැමතියි,mama bath kanna kamathi
මට මතකයි අපි කලින් ගොඩක් කතා කරා ඒක ගැන,mata mathakai api kalin godak katha kara eka gana
බොරුවට වෙලාව නාස්ති කරගන්න එපා,boruwata welawa nasthi karaganna epah
මට උදවු කරන්න පුලුවන්ද?,mata udawu karanna puluwanda?
අපි හැමෝම එකට ඉන්න එක තමයි වටින්නේ.,api hamoma ekata inna eka thamai watinne.
මම හෙට දොස්තර කෙනෙක් හම්බවෙන්න යනවා.,mama heta dosthara kenek hambawenna yanawa.
කෝච්චිය අද පරක්කු වෙනවලු එන්න,kochchiya ada parakku wenawalu enna
"අපි එයාට කේක් එකක් ගෙනාවා, ඔතන්ට ගෙන්නද?","api eyata cake ekak genawa, othanta gennada?"
ඔයාට සුභ දවසක් වේවා.,oyata suba dawasak wewa.
ඔයාලා මොකද කරන්නෙ?,oyala mokada karanne?
අපේ අය දැන් ටිකකින් යනවා,apeh aya dan tikakin yanawa
අය්යෝ ඒක ගැන හිතලා දුක් වෙන්න එපා.,aiyo eka gana hithala duk wenna epa.
මම දැන් ගියා ටවුන් එකට,mama dan giya town ekaṭa
ඔයා අදත් හරිම ලස්සනයි.,oya adath harima lassanai.
මගේ හිතට ඒක ලොකු සතුටක්.,mage hithata eka loku sathutak.
ආයේ ඒ වැරැද්ද කරන්න එපා හරිද?,aye a waradda karanna epa harida?
එයා ටීවී බලනවා.,eya tv balanawa.
ඇයි මේ මොකක්ද උනේ කියලා කියන්න.,ai meh mokakda une kiyala kiyanna.
ඒකට අපිත් යමු නේද?,ekata apith yamu neda?
මේක හොදයි කියලා හිතෙනවද?,meka hodai kiyala hithenawada?
එයාට සනීප නෑලු එකයි අද ඇවිල්ලා නැත්තේ,eyata saneepa naalu ekai ada awilla natte
ක්‍රිකට් මැච් එක බලන්න යමු නේද?,cricket match eka balanna yamu neda?
මම පොතක් කියවනවා.,mama pothak kiyawanawa.
දැන් තියෙන තත්වෙ හැටියට ජීවත් වෙන්න අමාරුයි.,dan thiyena thathwe hatiyata jeewath wenna amarui.
එයා ගොඩක් හොද වෙලා.,eya godak hoda wela.
ටීචර් කිව්ව එක අමතක කරන්න එපා,teacher kiwwa eka amathaka karanna epah
එතන ගොඩක් ගැබුරුයි ඒකයි මන් යන්න එපා කිව්වේ,ethana godak gaburui ekai mn yanna epah kiwwe
මට ඒක මහා හිසරදයක්,mata eka maha hisaradayak
ඒක හරිම පුදුම කතාවක් නේ.,eka harima puduma kathawak ne.
ඔයා කෝල් කරනවද දැන්?,oya call karanawada dan?
එයා මගේ හොද යාලුවෙක්.,eya mage hoda yaluwek.
මගේ ඩේටා පැකේජ් එක ඉවර වුනා,mage data package eka iwara wuna
මම අහලා නෑ එයාගෙන්,mama ahala na eyagen
මේක නම් හරි නෑ.,meka nm hari na.
"කාර්ඩ්පතෙන් ගෙවන්න පුලුවන්ද, නැත්නම් සල්ලිම ඕනෙද?","cardpathen gewanna puluwanda, nethnam sallima oneda?"
මන් බැලුවේ ඩිග්රි එක ඉවර වෙලාම රට යන්න,mn baluwe degree eka iwara welama rata yanna
එයා දාපු ස්ටෝරි එක බලලා මට හිනා ගියා.,eya daapu story eka balala mata hina giya.
පොඩි වැඩක් කරගන්න ලොකු මහන්සියක් වෙන්න ඕනේ.,podi wadak karaganna loku mahansiyak wenna one.
හිනා වුනා වැඩි නේ අදනන්.,hina wuna wadi neh adanan.
පොල් සම්බොල් ටිකක් හදාගන්න ඕනේ.,pol sambol tikak hadaganna one.
ගොඩක් ස්තූති මේ කරපු උදව්වට,godak sthuthi me karapu deyata.
බස් එකේ ගොඩක් සෙනග හිටියා.,bus eke godak senaga hitiya.
මම කලින් ගියා ඒ තැනට,mama kalin giya a thanata
මම ඒක ඔන්ලයින් ඕඩර් කරලා ගෙන්නගත්තා.,mama eka online order karala gennagaththa.
මේ ගැන තවත් හිතලා බලන්න.,meh gana thawath hithala balanna.
ඔයා මේල් එක බැලුවේ නැද්ද?,oya mail eka baluwe nadda?
රෑට කන්න මොනවහරි ගේන්න ඕනේ.,raata kanna monawahari genna one.
මගේ ෆෝන් එක ස්ලෝ වෙලා.,mage phone eka slow wela.
එහෙම උනේ කියලා හිතන්න බෑ,ehema une kiyala hithanna bah
මන් හිතුවා ගමනක් යනවා කියලා,mn hithuwa gamanak yanawa kiyala
හෙට අරෙහෙ යන්න තියෙනවා මතකයි නේ,hetta arehe yanna thiyenawa mathakai ne
ළග පාත හොද කෑම කඩයක් තියෙනවද ?,langa paatha hoda kaama kadayak thiyenawada?
එයා හරි හදිස්සියෙන් කටයුතු කරන්නේ,eya hari hadissiyen kaṭayuthu karanne
ප්‍රශ්න ඇති වෙනවා තමයි.,prashna athi wenawa thamai.
මේක ඔන්ලයින් ගත්තනම් ලාබයි.,meka online gaththanam labai.
ඩෙඩ්ලයින් එක ලන් වෙන කොට ටෙන්ෂන් වැඩී.,deadline eka lun wena kota tension wadi.
මම ඒක අහපු ගමන්ම කත කරා.,mama eka ahapu gamanma katha kara.
හොස්පිට්ල් එකෙන් චෙක්ප් එකක් කරගත්තා.,hospital eken checkup ekak karagaththa.
අද මොනවද කරන්නෙ?,ada monawada karanne?
මේ දේවල් වලින් මම ගොඩක් ස්ට්රෙස් වෙලා ඉන්නේ.,meh dewal walin mama godak stress wela inne.
මම ගෙදර වැඩ කරලා නැහැ.,mama gedara wada karala naha.
ඔව් ඔයා තමයි හැම වෙලාවෙම මතක් වෙන්නේ,owu oya thamai hama welawema mathak wenne.
"කමක් නෑ, ඒක ප්‍රශ්නයක් නෙමේ","kamak na, eka prashnayak nemei."
ඒක මගේ ජීවිතේ ලොකු වෙනසක් කරා.,eka mage jeewithe loku wenasak kara.
මට දැන් ගොඩක් මහන්සි වගේ.,matta dan godak mahansi wage.
මන් විභාගයෙන් සමත් වුනා,mn wibahagayen samath wuna
මගේ ඔලුව රිදෙනවා උදේ ඉදලා,mage oluwa ridenawa ude idala
මම කිව්වනේ ඔහොම එකක් වෙයි කියලා,mama kiwwane ohoma ekak wei kiyala
එයාට වැරදි ඩිලිවරි එකක් හම්බෙලා තියෙන්නේ,eyaṭa waradi delivery ekak hambela thiyenne
අද මන් මගේ අලුත් ගෙදරට ගියා,ada mn mage aluth gedarata giya
"එලකිරි වගේ වැඩක්, නියමයි.","elakiri wage wadak, niyamai."
මේ දවස් ටිකෙ නන් මන් බිසී පුලුවන් වුන ගමන් දාන්නන්,meh dawas tike nan mn busy puluwan wuna gaman dannan
එහෙම කරලා මොකද්ද වෙන්නෙ කියලා හිතුවද,ehema karala mokadda venne kiyala hithuwada
සුභ උදෑසනක් වේවා!,subha udaasanak wewa!
ඒක ඉවර වෙන්නේ කීයටද ?,eka iwara wenne kiyatada?
හිතුවට වඩා ඒක ගොඩක් ලේසි උනා.,hithuwata wada eka godak lesi una.
සේල් එකෙන් බඩු ගොඩක් ගත්තා.,sale eken badu godak gaththa.
ඔයා රට ගියාද අයියේ?,oya rata giyada ayye?
එකෙන් ඩොක්ට කිව්වේ මට එන්ඩෝමෙට්‍රිඔසිස් කියලා,eken doctor kiwwe matta endometriosis kiyala.
අපි මේක කොහොමහරි ගොඩ දාගමු මචං.,api meka kohomahari goda dagamu machn.
මම මාකට් යනවා.,mama market yanawa.
ඒකට ගැලපෙන ඇදුමක් තාම හම්බුනේ නෑ,ekata galapena adumak thaama hambune na
මේ දවස් ටිකේ නන් එච්චර ෆිට් එකක් නෑ,meh dawas tike nan echchara fit ekak nah
ඉස්කෝලේ යන කාලය ආවා.,iskole yana kaalaya aawa.
හොයලා බැලුවනන් මේවා ගන්න තැන් තියෙනවා,hoyala baluwanan mewa ganna than thiyenawa
මම අලුත් ජොබ් එකක් හොයනවා.,mama aluth job ekak hoyanawa.
හොදි ටිකක් දෙන්න.,hodi tikak denna.
කමක් නෑ බන් අපි ඉතින් බලමු,kamak nah bn api ithin balamu
හැම දේම සිද්ද වෙන්නෙ හේතුවක් ඇතුව.,hama dema sidda wenne hethuwak athuwa.
හිත හරියට අවුල් වෙන්න පටන් ගත්තා,hitha hariyata awul wenna patan gatta
මට දැනෙන්නේ මම තනි වෙලා වගේ.,mata danenne mama thani wela wage.
කොන්දොස්තරට කියලා ටිකට් එකක් ගන්න.,kondostharata kiyala ticket ekak ganna.
මම වගේ මිනිස්සු එහෙම කරන්නේ නෑ,mama wage minissu ehema karanne na
ඉස්සර ඒක වහගෙන සල්ලි ගන්නේ පිටිපස්සේ එක්කෙනා බෑන්ක් බැලන්ස් දකී කියලා,issara eka wahagena salli ganne pitipasse ekkena bank balance daki kiyala
එයා කියන්නෙ ඒක නෙවෙයි බන්,eya kiyanne eka newei bn
ඒක දැක්කම මට අප්පිරියා හිතුනා.,eka dakkama mata appiriya hithuna.
මම කලින් කිව්ව එක මතකද?,mama kalin kiwwa eka mathaka da?
හුළං පොඩ්ඩක් වැඩි වගේ දැනෙනවා.,hulan poddak wadi wage danenawa.
ඔයා හරියට තෙරුම් ගන්න ඕනේ,oya hariyata therum ganna one
අපි දෙන්නා ගොඩක් කල් ඉදන් ආදරෙන් හටියා.,api denna godak kal idan adaren hitiya.
ඔයා නැතිව ගොඩක් පාලුයි වගේ.,oya nathiwa godak palui wage.
එයා ඔන්ලයින් හිටියට රිප්ලයි කරන්නේ නෑ.,eya online hitiyata reply karanne na.
සමාවෙන්න අද ගොඩක් පරක්කු වුනාට ආයේ එහෙම වෙන්නෙ නෑ,samawenna ada godak parakku wunata aye ehema wenne na
එයා කියපු දේ හරි කියලා හිතෙනවා.,eya kiyapu de hari kiyala man hithanawa.
අපි කලින් හම්බුන තැනම නේද,api kalin hambuna thanama neda
මූවි එකක් බලන්න යන්න ආසයි.,movie ekak balanna yanna asai.
ඒ මනුස්සයාගේ තත්වෙ තෙරුම් ගන්නවා.,a manussayage thathwe therum gannawa.
එහෙම අඩු කරනවා දැන්,ehema adu karanawa dan
මට දැන් හොද ප්ලෑන් එකක් ඕනේ,matta dan hoda plan ekak one
"පොඩ්ඩක් බිසී බං, ඒත් රිප්ලයි කරන්නම්","poddak busy ban, eth reply karannam"
කවුරුවත් මට තෙරුම් ගන්න බෑ,kawuruwath mata therum ganna bah
මේක තමයි යන්න තියෙන ශොර්ට් කට්  එක.,meka thamai yanna thiyena short cut eka.
මේක කීයද?,meka keeyada?
දැන් මට කිසිම දෙයක් කරන්න ඕනේ නෑ,dan mata kisima deyak karanna one nah
මේ ෆොටෝ එක එඩිට් කරලා ලස්සනයි.,me photo eka edit karala lassanai.
අද ගොඩක් හොද දවසක්,ada godak hoda dawasak
කොහෙද ඔයා ඉන්නෙ දැන්?,koheda oya inne dan?
මේ දවස් ටිකේ රෑට මට නින්ද යන්නෙ නෑ,meh dawas tike raata matta ninda yanne nah
අද්නන් කියල දුන්න ටික තේරුණා,ada nan kiyala dunna tika theruna
ට්‍රැෆික් එක නිසා තමයි පරක්කු උනෙ.,traffic eka nisa thamai parakku une.
හෙට ආයේ සෙට් වෙමු එහෙනම්,heta aye set wemu ehenam.
ටිකක් වෙලාව දෙන්න මම පැහැදිලි කරන්නන්,tikak welawa denna mama pahadili karannan
ඉන්ටවිව් එක නන් මරු එක්ස්පීරියන්ස් එකක් වගේ උනා,interview eka nan maru experience ekak wage una
